Air Force blue,5d8aa8,93,138,168,204,30.10%,51.20%
Alice blue,f0f8ff,240,248,255,208,100%,97.10%
Alizarin crimson,e32636,227,38,54,354.9,77.10%,52%
Almond,efdecd,239,222,205,30,51.50%,87.10%
Amaranth,e52b50,229,43,80,348.1,78.20%,53.30%
Amber,ffbf00,255,191,0,44.9,100%,50%
American rose,ff033e,255,3,62,346,100%,50.60%
Amethyst,9966cc,153,102,204,270,50%,60%
Android Green,a4c639,164,198,57,74.5,55.30%,50%
Anti-flash white,f2f3f4,242,243,244,210,8.30%,95.30%
Antique brass,cd9575,205,149,117,21.8,46.80%,63.10%
Antique fuchsia,915c83,145,92,131,315.8,22.40%,46.50%
Antique white,faebd7,250,235,215,34.3,77.80%,91.20%
Ao,008000,0,128,0,120,100%,25.10%
Apple green,8db600,141,182,0,73.5,100%,35.70%
Apricot,fbceb1,251,206,177,23.5,90.20%,83.90%
Aqua,00ffff,0,255,255,180,100%,50%
Aquamarine,7fffd4,127,255,212,159.8,100%,74.90%
Army green,4b5320,75,83,32,69.4,44.30%,22.50%
Arylide yellow,e9d66b,233,214,107,51,74.10%,66.70%
Ash grey,b2beb5,178,190,181,135,8.50%,72.20%
Asparagus,87a96b,135,169,107,92.9,26.50%,54.10%
Atomic tangerine,ff9966,255,153,102,20,100%,70%
Auburn,a52a2a,165,42,42,0,59.40%,40.60%
Aureolin,fdee00,253,238,0,56.4,100%,49.60%
AuroMetalSaurus,6e7f80,110,127,128,183.3,7.60%,46.70%
Awesome,ff2052,255,32,82,346.5,100%,56.30%
Azure,007fff,0,127,255,210.1,100%,50%
Azure mist/web,f0ffff,240,255,255,180,100%,97.10%
Baby blue,89cff0,137,207,240,199.2,77.40%,73.90%
Baby blue eyes,a1caf1,161,202,241,209.3,74.10%,78.80%
Baby pink,f4c2c2,244,194,194,0,69.40%,85.90%
Ball Blue,21abcd,33,171,205,191.9,72.30%,46.70%
Banana Mania,fae7b5,250,231,181,43.5,87.30%,84.50%
Banana yellow,ffe135,255,225,53,51.1,100%,60.40%
Battleship grey,848482,132,132,130,60,0.80%,51.40%
Bazaar,98777b,152,119,123,352.7,13.80%,53.10%
Beau blue,bcd4e6,188,212,230,205.7,45.70%,82%
Beaver,9f8170,159,129,112,21.7,19.70%,53.10%
Beige,f5f5dc,245,245,220,60,55.60%,91.20%
Bisque,ffe4c4,255,228,196,32.5,100%,88.40%
Bistre,3d2b1f,61,43,31,24,32.60%,18%
Bittersweet,fe6f5e,254,111,94,6.4,98.80%,68.20%
Black,0,0,0,0,0,0%,0%
Blanched Almond,ffebcd,255,235,205,36,100%,90.20%
Bleu de France,318ce7,49,140,231,210,79.10%,54.90%
Blizzard Blue,ace5ee,172,229,238,188.2,66%,80.40%
Blond,faf0be,250,240,190,50,85.70%,86.30%
Blue,0000ff,0,0,255,240,100%,50%
Blue Bell,a2a2d0,162,162,208,240,32.90%,72.50%
Blue Gray,6699cc,102,153,204,210,50%,60%
Blue green,0d98ba,13,152,186,191.8,86.90%,39%
Blue purple,8a2be2,138,43,226,271.1,75.90%,52.70%
Blue violet,8a2be2,138,43,226,271.1,75.90%,52.70%
Blush,de5d83,222,93,131,342.3,66.20%,61.80%
Bole,79443b,121,68,59,8.7,34.40%,35.30%
Bondi blue,0095b6,0,149,182,190.9,100%,35.70%
Bone,e3dac9,227,218,201,39.2,31.70%,83.90%
Boston University Red,cc0000,204,0,0,0,100%,40%
Bottle green,006a4e,0,106,78,164.2,100%,20.80%
Boysenberry,873260,135,50,96,327.5,45.90%,36.30%
Brandeis blue,0070ff,0,112,255,213.6,100%,50%
Brass,b5a642,181,166,66,52.2,46.60%,48.40%
Brick red,cb4154,203,65,84,351.7,57%,52.50%
Bright cerulean,1dacd6,29,172,214,193.6,76.10%,47.60%
Bright green,66ff00,102,255,0,96,100%,50%
Bright lavender,bf94e4,191,148,228,272.3,59.70%,73.70%
Bright maroon,c32148,195,33,72,345.6,71.10%,44.70%
Bright pink,ff007f,255,0,127,330.1,100%,50%
Bright turquoise,08e8de,8,232,222,177.3,93.30%,47.10%
Bright ube,d19fe8,209,159,232,281.1,61.30%,76.70%
Brilliant lavender,f4bbff,244,187,255,290.3,100%,86.70%
Brilliant rose,ff55a3,255,85,163,332.5,100%,66.70%
Brink pink,fb607f,251,96,127,348,95.10%,68%
British racing green,004225,0,66,37,153.6,100%,12.90%
Bronze,cd7f32,205,127,50,29.8,60.80%,50%
Brown,a52a2a,165,42,42,0,59.40%,40.60%
Bubble gum,ffc1cc,255,193,204,349.4,100%,87.80%
Bubbles,e7feff,231,254,255,182.5,100%,95.30%
Buff,f0dc82,240,220,130,49.1,78.60%,72.50%
Bulgarian rose,480607,72,6,7,359.1,84.60%,15.30%
Burgundy,800020,128,0,32,345,100%,25.10%
Burlywood,deb887,222,184,135,33.8,56.90%,70%
Burnt orange,cc5500,204,85,0,25,100%,40%
Burnt sienna,e97451,233,116,81,13.8,77.60%,61.60%
Burnt umber,8a3324,138,51,36,8.8,58.60%,34.10%
Byzantine,bd33a4,189,51,164,310.9,57.50%,47.10%
Byzantium,702963,112,41,99,311,46.40%,30%
CG Blue,007aa5,0,122,165,195.6,100%,32.40%
CG Red,e03c31,224,60,49,3.8,73.80%,53.50%
Cadet,536872,83,104,114,199.4,15.70%,38.60%
Cadet blue,5f9ea0,95,158,160,181.8,25.50%,50%
Cadet grey,91a3b0,145,163,176,205.2,16.40%,62.90%
Cadmium green,006b3c,0,107,60,153.6,100%,21%
Cadmium orange,ed872d,237,135,45,28.1,84.20%,55.30%
Cadmium red,e30022,227,0,34,351,100%,44.50%
Cadmium yellow,fff600,255,246,0,57.9,100%,50%
Cafe au lait,a67b5b,166,123,91,25.6,29.60%,50.40%
Cafe noir,4b3621,75,54,33,30,38.90%,21.20%
Cal Poly Pomona green,1e4d2b,30,77,43,136.6,43.90%,21%
Cambridge Blue,a3c1ad,163,193,173,140,19.50%,69.80%
Camel,c19a6b,193,154,107,32.8,41%,58.80%
Camouflage green,78866b,120,134,107,91.1,11.20%,47.30%
Canary,ffff99,255,255,153,60,100%,80%
Canary yellow,ffef00,255,239,0,56.2,100%,50%
Candy apple red,ff0800,255,8,0,1.9,100%,50%
Candy pink,e4717a,228,113,122,355.3,68%,66.90%
Capri,00bfff,0,191,255,195.1,100%,50%
Caput mortuum,592720,89,39,32,7.4,47.10%,23.70%
Cardinal,c41e3a,196,30,58,349.9,73.50%,44.30%
Caribbean green,00cc99,0,204,153,165,100%,40%
Carmine,ff0040,255,0,64,344.9,100%,50%
Carmine pink,eb4c42,235,76,66,3.6,80.90%,59%
Carmine red,ff0038,255,0,56,346.8,100%,50%
Carnation pink,ffa6c9,255,166,201,336.4,100%,82.50%
Carnelian,b31b1b,179,27,27,0,73.80%,40.40%
Carolina blue,99badd,153,186,221,210.9,50%,73.30%
Carrot orange,ed9121,237,145,33,32.9,85%,52.90%
Celadon,ace1af,172,225,175,123.4,46.90%,77.80%
Celeste,b2ffff,178,255,255,180,100%,84.90%
Celestial blue,4997d0,73,151,208,205.3,59%,55.10%
Cerise,de3163,222,49,99,342.7,72.40%,53.10%
Cerise pink,ec3b83,236,59,131,335.6,82.30%,57.80%
Cerulean,007ba7,0,123,167,195.8,100%,32.70%
Cerulean blue,2a52be,42,82,190,223.8,63.80%,45.50%
Chamoisee,a0785a,160,120,90,25.7,28%,49%
Champagne,fad6a5,250,214,165,34.6,89.50%,81.40%
Charcoal,36454f,54,69,79,204,18.80%,26.10%
Chartreuse,7fff00,127,255,0,90.1,100%,50%
Cherry,de3163,222,49,99,342.7,72.40%,53.10%
Cherry blossom pink,ffb7c5,255,183,197,348.3,100%,85.90%
Chestnut,cd5c5c,205,92,92,0,53.10%,58.20%
Chocolate,d2691e,210,105,30,25,75%,47.10%
Chrome yellow,ffa700,255,167,0,39.3,100%,50%
Cinereous,98817b,152,129,123,12.4,12.30%,53.90%
Cinnabar,e34234,227,66,52,4.8,75.80%,54.70%
Cinnamon,d2691e,210,105,30,25,75%,47.10%
Citrine,e4d00a,228,208,10,54.5,91.60%,46.70%
Classic rose,fbcce7,251,204,231,325.5,85.50%,89.20%
Cobalt,0047ab,0,71,171,215.1,100%,33.50%
Cocoa brown,d2691e,210,105,30,25,75%,47.10%
Coffee,6f4e37,111,78,55,24.6,33.70%,32.50%
Columbia blue,9bddff,155,221,255,200.4,100%,80.40%
Cool black,2E+63,0,46,99,212.1,100%,19.40%
Cool grey,8c92ac,140,146,172,228.8,16.20%,61.20%
Copper,b87333,184,115,51,28.9,56.60%,46.10%
Copper rose,996666,153,102,102,0,20%,50%
Coquelicot,ff3800,255,56,0,13.2,100%,50%
Coral,ff7f50,255,127,80,16.1,100%,65.70%
Coral pink,f88379,248,131,121,4.7,90.10%,72.40%
Coral red,ff4040,255,64,64,0,100%,62.50%
Cordovan,893f45,137,63,69,355.1,37%,39.20%
Corn,fbec5d,251,236,93,54.3,95.20%,67.50%
Cornell Red,b31b1b,179,27,27,0,73.80%,40.40%
Cornflower,9aceeb,154,206,235,201.5,66.90%,76.30%
Cornflower blue,6495ed,100,149,237,218.5,79.20%,66.10%
Cornsilk,fff8dc,255,248,220,48,100%,93.10%
Cosmic latte,fff8e7,255,248,231,42.5,100%,95.30%
Cotton candy,ffbcd9,255,188,217,334,100%,86.90%
Cream,fffdd0,255,253,208,57.4,100%,90.80%
Crimson,dc143c,220,20,60,348,83.30%,47.10%
Crimson Red,990000,153,0,0,0,100%,30%
